3,432616
1,889648
3,076172
2,314456
2,63184
2,78808
2,143556
3,242188
1,748048
3,510744
1,567376
3,61328
1,606448
3,437504
1,875008
3,095704
2,304688
2,612304
2,77344
2,167968
3,212892
1,757808
3,520504
1,562496
3,60352
1,621088
3,422848
1,899408
3,051758
2,373048
2,543952
2,846672
2,089844
3,310544
1,708992
3,549808
1,542976
3,583984
1,66992
3,359376
1,987312
2,978512
2,412112
2,50488
2,895504
2,06543
3,315432
1,689456
3,569328
1,52832
3,559568
1,65528
3,354496
1,997072
2,988288
2,402344
2,519528
2,875984
2,075196
3,305664
1,718752
3,540032
1,53808
3,569328
1,650384
3,393552
1,94824
2,998048
2,36328
2,543952
2,846672
2,094726
3,305664
1,718752
3,544928
1,542976
3,593744
1,66016
3,354496
1,982416
3,002929
2,460936
2,460936
2,983392
1,977536
3,364256
1,67968
3,564448
1,52832
3,540032
1,718752
3,300784
2,045898
2,866208
2,519528
2,402344
3,002929
1,914064
3,417968
1,616208
3,593744
1,562496
3,549808
1,723632
3,251952
2,09961
2,807616
2,607424
2,3584
3,056641
1,860352
3,447264
1,621088
3,593744
1,572272
3,515624
1,767584
3,271488
2,109376
2,822272
2,602544
2,333984
3,076172
1,875008
3,437504
1,611328
3,593744
1,572272
3,520504
1,757808
3,222656
2,148436
2,822272
2,607424
2,348632
3,046875
1,894528
3,427736
1,630864
3,60352
1,552736
3,535152
1,743168
3,247072
2,124024
2,802736
2,607424
2,348632
3,051758
1,875008
3,427736
1,630864
3,59864
1,552736
3,535152
1,748048
3,237304
2,138672
2,802736
2,597664
2,3584
3,061523
1,860352
3,452152
1,601568
3,59864
1,562496
3,520504
1,782224
3,22754
2,138672
2,77832
2,617184
2,309568
3,076172
1,865232
3,442384
1,621088
3,59864
1,562496
3,520504
1,777344
3,222656
2,167968
2,763664
2,63184
2,309568
3,066406
1,875008
3,437504
1,616208
3,593744
1,572272
3,505856
1,782224
3,237304
2,15332
2,78808
2,587888
2,324216
3,076172
1,879888
3,422848
1,601568
3,588864
1,562496
3,530272
1,748048
3,222656
2,148436
2,817376
2,597664
2,3584
3,061523
1,875008
3,442384
1,616208
3,59864
1,567376
3,520504
1,79688
3,19336
2,1875
2,739264
2,675776
2,280272
3,120118
1,831056
3,47168
1,591792
3,60352
1,562496
3,505856
1,81152
3,173828
2,202148
2,714848
2,670896
2,265624
3,164064
1,81152
3,481448
1,567376
3,61328
1,601568
3,457032
1,845696
3,134764
2,29492
2,62696
2,763664
2,182616
3,217772
1,767584
3,510744
1,586912
3,59864
1,591792
3,461912
1,826176
3,154296
2,275392
2,661136
2,763664
2,207032
3,19336
1,782224
3,496096
1,582032
3,59864
1,601568
3,457032
1,831056
3,139648
2,260744
2,670896
2,758784
2,202148
3,19336
1,782224
3,500976
1,582032
3,59864
1,582032
3,461912
1,840816
3,139648
2,270504
2,64648
2,77344
2,148436
3,23242
1,762688
3,510744
1,572272
3,59864
1,601568
3,457032
1,835936
3,149416
2,265624
2,666016
2,77832
2,163084
3,217772
1,762688
3,500976
1,582032
3,588864
1,616208
3,427736
1,894528
3,085938
2,314456
2,622064
2,78808
2,148436
3,237304
1,777344
3,510744
1,577152
3,588864
1,621088
3,442384
1,879888
3,095704
2,299808
2,63184
2,749024
2,1875
3,19336
1,777344
3,505856
1,591792
3,60352
1,586912
3,452152
1,840816
3,125
2,275392
2,63672
2,734368
2,192384
3,19336
1,777344
3,500976
1,582032
3,60352
1,582032
3,461912
1,826176
3,149416
2,265624
2,670896
2,76856
2,167968
3,217772
1,757808
3,510744
1,567376
3,61328
1,601568
3,447264
1,855472
3,120118
2,25586
2,680672
2,729488
2,202148
3,164064
1,79688
3,481448
1,567376
3,6084
1,601568
3,447264
1,845696
3,129882
2,270504
2,65136
2,758784
2,182616
3,217772
1,757808
3,510744
1,572272
3,59864
1,591792
3,452152
1,840816
3,120118
2,275392
2,64648
2,77344
2,15332
3,203124
1,782224
3,505856
1,577152
3,593744
1,611328
3,452152
1,845696
3,144532
2,280272
2,65136
2,744144
2,202148
3,188476
1,80664
3,491208
1,572272
3,588864
1,611328
3,452152
1,840816
3,125
2,28516
2,63672
2,739264
2,197264
3,217772
1,772464
3,530272
1,562496
3,61816
1,606448
3,437504
1,884768
3,081054
2,343752
2,597664
2,812496
2,15332
3,22754
1,757808
3,515624
1,567376
3,60352
1,611328
3,417968
1,904304
3,061523
2,368168
2,543952
2,861328
2,070312
3,286136
1,718752
3,544928
1,53808
3,574224
1,66016
3,344728
1,982416
2,978512
2,416992
2,5
2,90528
2,021484
3,359376
1,67968
3,564448
1,52344
3,549808
1,694336
3,33008
2,041016
2,866208
2,543952
2,387696
3,027344
1,923824
3,417968
1,621088
3,583984
1,572272
3,530272
1,733392
3,271488
2,08496
2,797856
2,597664
2,348632
3,046875
1,894528
3,422848
1,606448
3,588864
1,567376
3,520504
1,777344
3,22754
2,138672
2,77344
2,622064
2,333984
3,085938
1,845696
3,4668
1,586912
3,59864
1,562496
3,510744
1,782224
3,237304
2,15332
2,792976
2,612304
2,3584
3,046875
1,884768
3,432616
1,630864
3,59864
1,562496
3,535152
1,757808
3,22754
2,138672
2,78808
2,617184
2,324216
3,095704
1,884768
3,437504
1,616208
3,593744
1,572272
3,510744
1,757808
3,242188
2,124024
2,807616
2,617184
2,333984
3,081054
1,875008
3,432616
1,621088
3,593744
1,567376
3,530272
1,762688
3,22754
2,133788
2,763664
2,62696
2,309568
3,076172
